name,category,price,measure,madori,hikiwatashi,kanseijiki,floor,building,adress,nearest_line,nearest_station,walk_time,url
秀和奥沢レジデンス 3180万円（ワンルーム）,中古マンション,3180,39.43,ワンルーム,即引渡可,1968年12月,5,RC7階建,東京都世田谷区奥沢１,東急目黒線,奥沢,10,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71577442/
グリーンサイド 3190万円（1DK）,中古マンション,3190,38.02,1DK,相談,1965年12月,3,RC6階建,東京都世田谷区三宿１,東急田園都市線,三軒茶屋,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71626727/
京王瀬田マンション 3190万円（2DK）,中古マンション,3190,40.04,2DK,即引渡可,1978年6月,1,RC6階建,東京都世田谷区瀬田２,東急田園都市線,用賀,10,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71649201/
◇南烏山住宅◇ 3280万円（3LDK）,中古マンション,3280,59.22,3LDK,即引渡可,1971年1月,2,SRC7階建,東京都世田谷区南烏山２,京王線,芦花公園,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71458079/
烏山南住宅 3280万円（3LDK）,中古マンション,3280,59.22,3LDK,即引渡可,1971年1月,2,SRC7階建,東京都世田谷区南烏山２-8-2,京王線,芦花公園,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71354502/
桜新町ヒミコマンション 3330万円（2LDK）,中古マンション,3330,46.43,2LDK,相談,1978年7月,1,RC3階建,東京都世田谷区弦巻４,東急田園都市線,桜新町,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70785278/
ユニティ上馬 3333万円（1LDK）,中古マンション,3333,39.82,1LDK,相談,1981年10月,2,RC7階建一部SRC,東京都世田谷区上馬５,東急世田谷線,松陰神社前,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71266046/
ニックハイム砧 3398万円（2LDK）,中古マンション,3398,52.47,2LDK,相談,1973年9月,6,RC8階建,東京都世田谷区砧１,小田急線,祖師ヶ谷大蔵,18,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71266742/
メゾン上野毛 3399万円（2LDK）,中古マンション,3399,54.85,2LDK,即引渡可,1969年4月,3,SRC8階建,東京都世田谷区上野毛１,東急大井町線,上野毛,3,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70060466/
ジュネス等々力 3490万円（2LDK）,中古マンション,3490,51.57,2LDK,相談,1979年3月,1,RC5階建,東京都世田谷区等々力１-３１－１２,東急大井町線,尾山台,7,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71224307/
フジタ野沢マンション 3498万円（2LDK）,中古マンション,3498,46.48,2LDK,相談,1980年12月,1,RC5階建,東京都世田谷区野沢３,東急東横線,学芸大学,18,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71690028/
フジタ野沢マンション 3498万円（2LDK）,中古マンション,3498,46.48,2LDK,相談,1980年12月,1,RC5階建,東京都世田谷区野沢３,東急田園都市線,駒沢大学,14,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70949914/
世田谷第二オリンピックマンション 3298万円（2DK）,中古マンション,3298,42.33,2DK,即引渡可,1981年4月,1,RC4階建,東京都世田谷区世田谷４,東急世田谷線,世田谷,4,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70697671/
京王瀬田マンション 3499万円（1LDK）,中古マンション,3499,44.76,1LDK,即引渡可,1978年8月,5,RC6階建,東京都世田谷区瀬田２,東急田園都市線,用賀,10,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71115799/
眺望良好最上階の角部屋　最新価格でご紹介！　　　　　　　　　　～マンション　フォア～ 3580万円（1LDK）,中古マンション,3580,43.78,1LDK,即引渡可,1995年10月,6,RC6階建,東京都世田谷区新町１,東急田園都市線,桜新町,10,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71689985/
上北沢ヒミコマンション 3580万円（2LDK+S（納戸））,中古マンション,3580,56.16,2LDK+S（納戸）,相談,1979年4月,3,RC4階建,東京都世田谷区上北沢５-40-12,京王線,八幡山,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71654717/
ハイツ太子堂 3580万円（2LDK）,中古マンション,3580,61.65,2LDK,相談,1971年8月,4,RC8階建,東京都世田谷区太子堂４,東急田園都市線,三軒茶屋,4,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71626757/
サンケイグランドハイツ 3580万円（1LDK）,中古マンション,3580,48.57,1LDK,即引渡可,1967年6月,5,RC11階建,東京都世田谷区池尻３,東急田園都市線,池尻大橋,1,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71434791/
ハヤマビル 3599万円（2LDK）,中古マンション,3599,66.79,2LDK,即引渡可,1968年12月,9,RC10階建,東京都世田谷区代田４-1-18,小田急線,世田谷代田,2,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70996775/
ハヤマビル 3599万円（2DK+S（納戸））,中古マンション,3599,66.79,2DK+S（納戸）,即引渡可,1968年12月,9,SRC10階建,東京都世田谷区代田４,小田急線,世田谷代田,2,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71661242/
コスモ二子玉川　2階部分　弊社委任物件 3680万円（2LDK）,中古マンション,3680,66.51,2LDK,相談,1986年5月,2,RC5階地下1階建,東京都世田谷区鎌田２,二子玉川駅　乗車7分,砧南中学校前,4,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71525541/
啓明宮前橋マンション 3690万円（2LDK）,中古マンション,3690,42.12,2LDK,即引渡可,1974年8月,5,PC8階建,東京都世田谷区代田３,小田急線,世田谷代田,6,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71119480/
ハイツ太子堂 3580万円（2LDK）,中古マンション,3580,61.65,2LDK,相談,1971年8月,4,RC8階建,東京都世田谷区太子堂４-17-10,東急田園都市線,三軒茶屋,4,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71389322/
弦巻リハイム 3780万円（1LDK）,中古マンション,3780,55.89,1LDK,相談,1974年3月,1,SRC10階建,東京都世田谷区弦巻５,東急田園都市線,桜新町,12,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71061284/
グリーンキャピタル第2上野毛 3780万円（2LDK）,中古マンション,3780,50,2LDK,相談,1984年2月,1,RC4階建,東京都世田谷区上野毛２,東急大井町線,上野毛,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71684564/
弦巻ハイツ 3798万円（2LDK）,中古マンション,3798,54.82,2LDK,相談,1971年4月,6,RC11階建,東京都世田谷区弦巻５,東急田園都市線,桜新町,11,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71509025/
ハウス深沢 3798万円（2LDK）,中古マンション,3798,62.31,2LDK,相談,1979年10月,4,RC4階建,東京都世田谷区深沢８,東急田園都市線,桜新町,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71621580/
ボヌール三軒茶屋 3800万円（1K）,中古マンション,3800,32.89,1K,相談,2000年12月,2,RC6階建,東京都世田谷区太子堂２,東急田園都市線,三軒茶屋,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71609543/
～家電付きです！　ダイアパレス三宿～ 3880万円（2LDK）,中古マンション,3880,48.5,2LDK,相談,1979年4月,2,RC4階建,東京都世田谷区三宿２-11-27,東急田園都市線,池尻大橋,12,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_97776188/
キャッスル世田谷 3890万円（2LDK）,中古マンション,3890,39.4,2LDK,相談,1970年5月,4,SRC7階建,東京都世田谷区下馬２,東急田園都市線,三軒茶屋,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71702626/
弦巻ハイツ 3898万円（2LDK）,中古マンション,3898,54.82,2LDK,相談,1971年4月,11,RC11階建,東京都世田谷区弦巻５,東急田園都市線,桜新町,11,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71617373/
東京グランドコープス 3899万円（2LDK）,中古マンション,3899,63.72,2LDK,即引渡可,1975年10月,3,RC3階建,東京都世田谷区桜上水２,小田急線,経堂,16,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71477112/
