name,category,price,min_price,max_price,tatemono_measure,min_tatemono_measure,max_tatemono_measure,tochi_measure,min_tochi_measure,max_tochi_measure,madori,min_madori,max_madori,hikiwatashi,kanseijiki,floor,building,adress,nearest_line,nearest_station,nearest_bus_station,bus_time,walk_time,url,latitude,longitude
中町４（上野毛駅） 9980万円,中古一戸建て,9980万円,9980,9980.0,104.33m（登記）,104.33,104.33,129.14m（登記）、路地状部分：5.6m含,129.14,129.14,4LDK,4LDK,4LDK,相談,2007年9月,,木造2階建一部木造,東京都世田谷区中町４,東急大井町線,上野毛,,,14,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71563757/,35.6177391,139.6432963
宇奈根２ 6680万円～7080万円,新築一戸建て,6680万円～7080万円,6680,7080.0,94.4m～101.86m（28.55坪～30.81坪）（実測）,94.4,101.86,118.42m～130.83m（35.82坪～39.57坪）（実測）,118.42,130.83,2LDK+2S（納戸）～4LDK,2LDK+2S,4LDK,相談,2023年3月予定,,-,東京都世田谷区宇奈根２,東急田園都市線,二子玉川,蒲田,9,11,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_71686740/,35.62062,139.600591
祖師谷３（祖師ヶ谷大蔵駅） 6680万円,新築一戸建て,6680万円,6680,6680.0,72.79m,72.79,72.79,88.13m（登記）、路地状部分：33m含,88.13,88.13,1LDK+S（納戸）,1LDK+S,1LDK+S,相談,2022年8月,,木造2階建,東京都世田谷区祖師谷３,小田急線,祖師ヶ谷大蔵,,,10,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_71203499/,35.6447785,139.6050513
桜丘４（千歳船橋駅） 6680万円,新築一戸建て,6680万円,6680,6680.0,111.79m,111.79,111.79,104.53m,104.53,104.53,4LDK,4LDK,4LDK,即引渡可,2022年8月,,木造2階建て,東京都世田谷区桜丘４,小田急線,千歳船橋,,,10,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_71749730/,35.6404997,139.6228959
給田１（仙川駅） 6680万円,新築一戸建て,6680万円,6680,6680.0,61.26m（18.53坪）（登記）,61.26,61.26,76.97m（23.28坪）（登記）,76.97,76.97,3LDK,3LDK,3LDK,2023年4月予定,2023年3月,,木造2階建,東京都世田谷区給田１,京王線,仙川,,,8,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_71479759/,35.6625701,139.5923085
松原１（代田橋駅） 6780万円,新築一戸建て,6780万円,6780,6780.0,82.71m（25.01坪）、うち１階車庫10.31m,82.71,82.71,40.95m（12.38坪）,40.95,40.95,2LDK+S（納戸）,2LDK+S,2LDK+S,相談,2022年12月,,木造3階建,東京都世田谷区松原１,京王線,代田橋,,,3,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_70060571/,35.667411,139.6541369
松原１（代田橋駅） 6780万円,新築一戸建て,6780万円,6780,6780.0,82.71m（25.01坪）（実測）,82.71,82.71,40.64m（12.29坪）（登記）,40.64,40.64,2LDK+S（納戸）,2LDK+S,2LDK+S,相談,2022年11月,,木造3階建,東京都世田谷区松原１,京王線,代田橋,,,3,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_71528351/,35.667411,139.6541369
松原１（代田橋駅） 6780万円,新築一戸建て,6780万円,6780,6780.0,82.71m,82.71,82.71,40.95m,40.95,40.95,3LDK,3LDK,3LDK,契約後1ヶ月,2022年12月,,木造3階建,東京都世田谷区松原１,京王線,代田橋,,,3,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_71769632/,35.667411,139.6541369
給田１（仙川駅） 6880万円,新築一戸建て,6880万円,6880,6880.0,72.9m（登記）,72.9,72.9,94.7m（登記）,94.7,94.7,3LDK,3LDK,3LDK,2023年2月,2023年2月,,木造2階建（軸組工法）,東京都世田谷区給田１,京王線,仙川,,,8,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_71314365/,35.6625701,139.5923085
給田１（仙川駅） 6880万円,新築一戸建て,6880万円,6880,6880.0,72.9m（22.05坪）,72.9,72.9,94.7m（28.64坪）（登記）,94.7,94.7,3LDK,3LDK,3LDK,2023年2月,2023年2月,,木造2階建,東京都世田谷区給田１,京王線,仙川,,,8,https://suumo.jp/ikkodate/tokyo/sc_setagaya/nc_71493507/,35.6625701,139.5923085
