区分,名称,都道府県,市区群,住所,0歳定員,1歳定員,2歳定員,3歳定員,4歳定員,5歳定員,定員,受入年齢,対象年齢,開所時間,閉所時間,延長保育時間（開始）,延長保育時間（終了）,latitude,longitude,latlng,nearlest_station,walk_time
認可保育園,等々力保育園 分園このは※7,東京都,世田谷区（69.9％）,東京都世田谷区等々力6-4-2,6,10,12,10,10,10,58,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.610345,139.6620494,"35.610345,139.6620494",九品仏,9
認可保育園,尾山台,東京都,世田谷区（69.9％）,東京都世田谷区尾山台1-1-6,9,10,16,16,16,16,83,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.5968366,139.6550337,"35.5968366,139.6550337",田園調布,19
認可保育園,用賀なのはな,東京都,世田谷区（69.9％）,東京都世田谷区用賀1-2-2,10,13,15,27,27,27,119,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6233428,139.6426985,"35.6233428,139.6426985",桜新町,16
認可保育園,用賀なのはな保育園 深沢分園※7、8,東京都,世田谷区（69.9％）,東京都世田谷区新町1-3-31,,12,12,,,,24,,,7:15:00,18:15:00,18:15:00,20:15:00,35.6267131,139.6525027,"35.6267131,139.6525027",桜新町,17
認可保育園,さくらの木※9,東京都,世田谷区（69.9％）,東京都世田谷区玉川台2-18-18,9,12,14,18,18,18,89,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.624889,139.6305054,"35.624889,139.6305054",用賀,8
認可保育園,身延山,東京都,世田谷区（69.9％）,東京都世田谷区瀬田4-12-4,10,13,13,28,28,28,120,5か月,,7:15:00,18:15:00,18:15:00,20:15:00,35.6192608,139.6259635,"35.6192608,139.6259635",二子玉川,14
認可保育園,身延山保育園 分園さくら青空※7、8,東京都,世田谷区（69.9％）,東京都世田谷区瀬田2-17-1,,14,15,,,,29,,,7:15:00,18:15:00,18:15:00,20:15:00,35.6182478,139.6323979,"35.6182478,139.6323979",二子玉川,14
認可保育園,さくらしんまち※9,東京都,世田谷区（69.9％）,東京都世田谷区桜新町2-29-3,9,16,19,21,21,21,107,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6321207,139.6390324,"35.6321207,139.6390324",桜新町,10
認可保育園,ぴっころ※9,東京都,世田谷区（69.9％）,東京都世田谷区桜新町2-13-17,7,7,9,13,13,13,62,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6337321,139.6429799,"35.6337321,139.6429799",桜新町,6
認可保育園,グリーンヒル奥沢 ※10,東京都,世田谷区（69.9％）,東京都世田谷区奥沢1-48-13,6,9,12,9,7,7,50,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6037901,139.6783162,"35.6037901,139.6783162",緑が丘（東京都）,5
認可保育園,グリーンヒル奥沢保育園 分園グリーンバレー等々力※10,東京都,世田谷区（69.9％）,東京都世田谷区等々力2-33-14,,9,10,10,10,10,49,,,7:15:00,18:15:00,18:15:00,20:15:00,35.6077159,139.6480189,"35.6077159,139.6480189",等々力,3
認可保育園,上用賀青い空保育園分園 森の家※11,東京都,世田谷区（69.9％）,東京都世田谷区上用賀5-15-1 用賀中学校校舎内,,8,8,8,8,8,40,,,7:15:00,18:15:00,18:15:00,20:15:00,35.6306072,139.627079,"35.6306072,139.627079",用賀,15
認可保育園,たまがわみんなの家,東京都,世田谷区（69.9％）,東京都世田谷区玉川3-39-22,9,17,21,21,21,21,110,57日,,7:15:00,18:15:00,18:15:00,19:15:00,35.6177668,139.6206053,"35.6177668,139.6206053",二子玉川,15
認可保育園,グリーンフィールド 上野毛,東京都,世田谷区（69.9％）,東京都世田谷区上野毛1-9-7,6,7,8,8,8,8,45,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6102989,139.6392398,"35.6102989,139.6392398",上野毛,4
認可保育園,駒沢どろんこ,東京都,世田谷区（69.9％）,東京都世田谷区深沢2-19-14 サンライズ会館2階,9,15,18,22,22,22,108,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6229978,139.660116,"35.6229978,139.660116",駒沢大学,20
認可保育園,Gakkenほいくえん 等々力,東京都,世田谷区（69.9％）,東京都世田谷区等々力4-2-12,9,12,14,15,15,15,80,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6077939,139.6519182,"35.6077939,139.6519182",尾山台,3
認可保育園,ふかさわミル,東京都,世田谷区（69.9％）,東京都世田谷区深沢1-32-24,10,18,23,23,23,23,120,57日,,7:15:00,18:15:00,18:15:00,19:15:00,35.6198517,139.6657942,"35.6198517,139.6657942",都立大学,16
認可保育園,せたがやこころ,東京都,世田谷区（69.9％）,東京都世田谷区深沢4-25-22,6,12,12,15,15,15,75,57日,,7:15:00,18:15:00,18:15:00,19:15:00,35.6206368,139.6573655,"35.6206368,139.6573655",尾山台,21
